Title,DOI,URL
Odd dynamics of living chiral crystals,10.1038/s41586-022-04889-6,https://arxiv.org/pdf/2105.07507
Profiling Differential Effects of 5 Selective Serotonin Reuptake Inhibitors on TLRs-Dependent and -Independent IL-6 Production in Immune Cells Identifies Fluoxetine as Preferred Anti-Inflammatory Drug Candidate,10.3389/fphar.2022.874375,https://www.frontiersin.org/articles/10.3389/fphar.2022.874375/pdf
Bridging the explanatory gaps: What can we learn from a biological agency perspective?,10.1002/bies.202100185,NA
Apical-out airway organoids as a platform for studying viral infections and screening for antiviral drugs,10.1038/s41598-022-11700-z,https://www.nature.com/articles/s41598-022-11700-z.pdf
"Reflections on the past, present and future of developmental biology",10.1016/j.ydbio.2022.05.001,NA
Competition for finite resources as coordination mechanism for morphogenesis: An evolutionary algorithm study of digital embryogeny,10.1016/j.biosystems.2022.104762,NA
Zebrafish Embryos Display Characteristic Bioelectric Signals during Early Development,10.3390/cells11223586,https://www.mdpi.com/2073-4409/11/22/3586/pdf?version=1668743432
Natural computation and its limits: Efim Liberman at the dawn of a new science,10.1016/j.biosystems.2022.104653,NA
Engines of innovation: biological origins of genome evolution,10.1093/biolinnean/blac041,NA
Linguistic laws in biology,10.1016/j.tree.2021.08.012,http://manuscript.elsevier.com/S0169534721002305/pdf/S0169534721002305.pdf
Evidence for long-term potentiation in phospholipid membranes,10.1073/pnas.2212195119,NA
Cognitive economics and the Market Mind Hypothesis: Exploring the final frontier of economics,https://doi.org/10.1111/ecaf.12505,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ecaf.12505
"Predictive validity in drug discovery: what it is, why it matters and how to improve it",10.1038/s41573-022-00552-x,https://ora.ox.ac.uk/objects/uuid:a03f3f9a-c8d0-47b0-9ced-7473fdcf6ca8/files/r8336h262x
Dynamic gene expression and growth underlie cell-to-cell heterogeneity in Escherichia coli stress response,10.1073/pnas.2115032119,NA
Breast Cancer Stem-Like Cells in Drug Resistance: A Review of Mechanisms and Novel Therapeutic Strategies to Overcome Drug Resistance,10.3389/fonc.2022.856974,https://www.frontiersin.org/articles/10.3389/fonc.2022.856974/pdf
How Organisms Come to Know the World: Fundamental Limits on Artificial General Intelligence,10.31219/osf.io/yfmt3,https://www.frontiersin.org/articles/10.3389/fevo.2021.806283/pdf
The antidepressant and anxiolytic effects of cannabinoids in chronic unpredictable stress: a preclinical systematic review and meta-analysis,10.1038/s41398-022-01967-1,https://www.nature.com/articles/s41398-022-01967-1.pdf
On Bayesian Mechanics: A Physics of and by Beliefs,10.1098/rsfs.2022.0029,NA
Engineered gene circuits capable of reinforcement learning allow bacteria to master gameplaying,10.1101/2022.04.22.489191,https://www.biorxiv.org/content/biorxiv/early/2022/06/21/2022.04.22.489191.full.pdf
Voltage imaging reveals the dynamic electrical signatures of human breast cancer cells,10.1038/s42003-022-04077-2,https://www.nature.com/articles/s42003-022-04077-2.pdf
Flexible reprogramming of Pristionchus pacificus motivation for attacking Caenorhabditis elegans in predator-prey competition,10.1016/j.cub.2022.02.033,http://www.cell.com/article/S096098222200255X/pdf
Magnitude-sensitivity: rethinking decision-making,10.1016/j.tics.2021.10.006,http://eprints.lse.ac.uk/112572/1/Pirrone_etal2021TiCS.pdf
"Active inference, morphogenesis, and computational psychiatry",10.3389/fncom.2022.988977,https://www.frontiersin.org/articles/10.3389/fncom.2022.988977/pdf
Beyond dimension reduction: Stable electric fields emerge from and allow representational drift,10.1016/j.neuroimage.2022.119058,NA
Bioelectric regulation of intestinal stem cells,10.1016/j.tcb.2022.10.003,NA
Bioelectronic medicine: Preclinical insights and clinical advances,10.1016/j.neuron.2022.09.003,http://manuscript.elsevier.com/S089662732200808X/pdf/S089662732200808X.pdf
Gradient expectations: Revisiting Charles Manning Child's theory of metabolic regionalisation in developmental patterning and regeneration,10.1111/wrr.12998,https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/wrr.12998
Membrane polarization in non-neuronal cells as a potential mechanism of metabolic disruption by depolarizing insecticides,10.1016/j.fct.2021.112804,NA
The contagiousness of memes: containing the spread of COVID-19 conspiracy theories in a forensic psychiatric hospital,10.1192/bjb.2020.120,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2409ED67F12F40A58E2E901F99DA1AED/S2056469420001205a.pdf/div-class-title-the-contagiousness-of-memes-containing-the-spread-of-covid-19-conspiracy-theories-in-a-forensic-psychiatric-hospital-div.pdf
"HCN2 channel-induced rescue of brain, eye, heart and gut teratogenesis caused by nicotine, ethanol and aberrant notch signalling",10.1111/wrr.13032,NA
Transcardial injection and vascular distribution of microalgae in Xenopus laevis as means to supply the brain with photosynthetic oxygen,10.1016/j.xpro.2022.101250,NA
Imaging Planar Cell Polarity Proteins in Xenopus Neuroectoderm,10.1007/978-1-0716-2035-9_10,NA
Superposition mechanism as a neural basis for understanding others,10.1038/s41598-022-06717-3,https://www.nature.com/articles/s41598-022-06717-3.pdf
How the Hodgkin cycle became the principle of biological relativity,10.1113/JP283193,NA
Modern physiology vindicates Darwin's dream,10.1113/EP090133,NA
"The ambiguous feeling between ""mine"" and ""not-mine"" measured by integrated information theory during rubber hand illusion",10.1038/s41598-022-22927-1,https://www.nature.com/articles/s41598-022-22927-1.pdf
Acute multidrug delivery via a wearable bioreactor facilitates long-term limb regeneration and functional recovery in adult Xenopus laevis,10.1126/sciadv.abj2164,NA
A prebiotically plausible scenario of an RNA-peptide world,10.1038/s41586-022-04676-3,https://www.nature.com/articles/s41586-022-04676-3.pdf
Developmental Timing of Trauma in Women Predicts Unique Extracellular Vesicle Proteome Signatures,10.1016/j.biopsych.2021.08.003,NA
When the end modifies its means: the origins of novelty and the evolution of innovation,10.1093/biolinnean/blac061,https://academic.oup.com/biolinnean/article-pdf/139/4/433/51076633/blac061.pdf
A New Class of Autopoietic and Cognitive Machines,10.20944/preprints202111.0340.v1,https://www.mdpi.com/2078-2489/13/1/24/pdf?version=1641787946
"Infusing Autopoietic and Cognitive Behaviors into Digital Automata to Improve Their Sentience, Resilience, and Intelligence",10.20944/preprints202111.0247.v1,https://www.mdpi.com/2504-2289/6/1/7/pdf?version=1641800311
A novel model of multicellular communication through extracellular matrix microstructure,10.1101/2022.11.21.514608,https://www.biorxiv.org/content/biorxiv/early/2023/02/03/2022.11.21.514608.full.pdf
A non-transcriptional function of Yap regulates the DNA replication program in Xenopus laevis,10.7554/eLife.75741,NA
Information Theory as an Experimental Tool for Integrating Disparate Biophysical Signaling Modules,10.3390/ijms23179580,https://www.mdpi.com/1422-0067/23/17/9580/pdf?version=1661854291
Ion Channel Drugs Suppress Cancer Phenotype in NG108-15 and U87 Cells: Toward Novel Electroceuticals for Glioblastoma,10.3390/cancers14061499,https://www.mdpi.com/2072-6694/14/6/1499/pdf?version=1647342422
When left does not seem right: epigenetic and bioelectric differences between left- and right-sided breast cancer,10.1186/s10020-022-00440-5,https://molmed.biomedcentral.com/counter/pdf/10.1186/s10020-022-00440-5
Correction to: When left does not seem right: epigenetic and bioelectric differences between left and rightsided breast cancer,10.1186/s10020-022-00457-w,https://molmed.biomedcentral.com/track/pdf/10.1186/s10020-022-00457-w
Minimal Developmental Computation: A Causal Network Approach to Understand Morphogenetic Pattern Formation,10.3390/e24010107,https://www.mdpi.com/1099-4300/24/1/107/pdf?version=1641804363
The nonlinearity of regulation in biological networks,10.1101/2021.12.22.473903,https://www.biorxiv.org/content/biorxiv/early/2022/06/19/2021.12.22.473903.full.pdf
New Era of Electroceuticals: Clinically Driven Smart Implantable Electronic Devices Moving towards Precision Therapy,10.3390/mi13020161,https://www.mdpi.com/2072-666X/13/2/161/pdf?version=1642841141
Building an allocentric travelling direction signal via vector computation,10.1038/s41586-021-04067-0,https://www.biorxiv.org/content/biorxiv/early/2020/12/23/2020.12.22.423967.full.pdf
General anesthesia bullies the gut: a toxic relationship with dysbiosis and cognitive dysfunction,10.1007/s00213-022-06096-7,NA
"Colocalized, bidirectional optogenetic modulations in freely behaving mice with a wireless dual-color optoelectronic probe",10.1038/s41467-022-28539-7,https://www.nature.com/articles/s41467-022-28539-7.pdf
Technological Approach to Mind Everywhere: An Experimentally-Grounded Framework for Understanding Diverse Bodies and Minds,10.3389/fnsys.2022.768201,https://www.frontiersin.org/articles/10.3389/fnsys.2022.768201/pdf
An autonomously swimming biohybrid fish designed with human cardiac biophysics,10.1126/science.abh0474,https://www.science.org/doi/pdf/10.1126/science.abh0474?download=true
A unicellular walker controlled by a microtubule-based finite-state machine,10.1016/j.cub.2022.07.034,http://www.cell.com/article/S0960982222011617/pdf
Metacognition as a Consequence of Competing Evolutionary Time Scales,10.3390/e24050601,https://www.mdpi.com/1099-4300/24/5/601/pdf?version=1650935291
Multimodal perception links cellular state to decision-making in single cells,10.1126/science.abf4062,https://www.science.org/cms/asset/cf2b2b5c-a021-47c9-89ff-eadf446d23a6/science.abf4062.v1.pdf
Probabilistic Inference with Polymerizing Biochemical Circuits,10.3390/e24050629,https://www.mdpi.com/1099-4300/24/5/629/pdf?version=1652086380
Environmental complexity is more important than mutation in driving the evolution of latent novel traits in E. coli,10.1038/s41467-022-33634-w,https://www.nature.com/articles/s41467-022-33634-w.pdf
Multiple Novel Traits without Immediate Benefits Originate in Bacteria Evolving on Single Antibiotics,10.1093/molbev/msab341,https://academic.oup.com/mbe/article-pdf/39/1/msab341/42270652/msab341.pdf
Regeneration Roadmap: database resources for regenerative biology,10.1093/nar/gkab870,NA
Electro-responsive polymer-based platforms for electrostimulation of cells,10.1039/D1MA01012C,https://pubs.rsc.org/en/content/articlepdf/2022/ma/d1ma01012c
AIRE in context: Leveraging chromatin plasticity to trigger ectopic gene expression,10.1111/imr.13026,NA
In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,10.1016/j.neuron.2022.09.001,http://www.cell.com/article/S0896627322008066/pdf
Robust and tunable signal processing in mammalian cells via engineered covalent modification cycles,10.1038/s41467-022-29338-w,https://www.nature.com/articles/s41467-022-29338-w.pdf
Fluoxetine Decreases Phagocytic Function via REV-ERBalpha in Microglia,10.1007/s11064-022-03733-7,https://www.researchsquare.com/article/rs-1792599/latest.pdf
Sodium accumulation in breast cancer predicts malignancy and treatment response,10.1038/s41416-022-01802-w,https://www.nature.com/articles/s41416-022-01802-w.pdf
Origin and evolution of animal multicellularity in the light of phylogenomics and cancer genetics,10.1007/s12032-022-01740-w,https://link.springer.com/content/pdf/10.1007/s12032-022-01740-w.pdf
The role of self-maintaining resilient reaction networks in the origin and evolution of life,10.1016/j.biosystems.2022.104720,https://biblio.vub.ac.be/vubirfiles/85576286/ResilienceOrigin_submitted2.pdf
The meaning and origin of goal-directedness: a dynamical systems perspective,10.1093/biolinnean/blac060,https://biblio.vub.ac.be/vubirfiles/84393768/Goal_DirectednessBJLS_final.pdf
Electroceutical treatment of infected chronic wounds in a dog and a cat,10.1111/vsu.13758,NA
Motile Living Biobots Self-Construct from Adult Human Somatic Progenitor Seed Cells,10.1101/2022.08.04.502707,https://www.biorxiv.org/content/biorxiv/early/2022/08/05/2022.08.04.502707.full.pdf
Dopamine subsystems that track internal states,10.1038/s41586-022-04954-0,https://www.nature.com/articles/s41586-022-04954-0.pdf
Gap junctions mediate glucose transfer to promote colon cancer growth in three-dimensional spheroid culture,10.1016/j.canlet.2022.01.023,NA
"Agency, teleonomy and signal transduction in plant systems",10.1093/biolinnean/blac021,https://academic.oup.com/biolinnean/advance-article-pdf/doi/10.1093/biolinnean/blac021/43448342/blac021.pdf
Could machine learning fuel a reproducibility crisis in science?,10.1038/d41586-022-02035-w,https://www.nature.com/articles/d41586-022-02035-w.pdf
Machine Learning at the Interface of Polymer Science and Biology: How Far Can We Go?,10.1021/acs.biomac.1c01436,NA
Programming Molecular Systems To Emulate a Learning Spiking Neuron,10.1021/acssynbio.1c00625,NA
Competency in Navigating Arbitrary Spaces as an Invariant for Analyzing Cognition in Diverse Embodiments,10.3390/e24060819,https://www.mdpi.com/1099-4300/24/6/819/pdf?version=1655801162
Smartphone mindfulness meditation training reduces Pro-inflammatory gene expression in stressed adults: A randomized controlled trial,10.1016/j.bbi.2022.04.003,NA
Cognition as Morphological/Morphogenetic Embodied Computation In Vivo,10.3390/e24111576,https://www.mdpi.com/1099-4300/24/11/1576/pdf?version=1668500403
Applications and Techniques for Fast Machine Learning in Science,10.3389/fdata.2022.787421,https://www.frontiersin.org/articles/10.3389/fdata.2022.787421/pdf
Synthetic morphology via active and agential matter,10.31219/osf.io/xrv8h,https://osf.io/xrv8h/download
Inducing Vertebrate Limb Regeneration: A Review of Past Advances and Future Outlook,10.1101/cshperspect.a040782,NA
Bayes and Darwin: How replicator populations implement Bayesian computations,10.1002/bies.202100255,NA
A systems theory of biological evolution,10.1016/j.biosystems.2022.104630,NA
Localized electrical stimulation triggers cell-type-specific proliferation in biofilms,10.1016/j.cels.2022.04.001,http://www.cell.com/article/S2405471222001661/pdf
Endless forms most beautiful 2.0: teleonomy and the bioengineering of chimaeric and synthetic organisms,10.1093/biolinnean/blac073,https://academic.oup.com/biolinnean/advance-article-pdf/doi/10.1093/biolinnean/blac073/46332771/blac073.pdf
Neuroscience needs evolution,10.1098/rstb.2020.0518,NA
Evolution of behavioural control from chordates to primates,10.1098/rstb.2020.0522,NA
A synthetic protein-level neural network in mammalian cells,10.1101/2022.07.10.499405,https://authors.library.caltech.edu/115493/1/2022.07.10.499405v1.full.pdf
Dynamic surface patterns on cells,10.1063/5.0077311,NA
"Time Is of the Essence: Neural Codes, Synchronies, Oscillations, Architectures",10.3389/fncom.2022.898829,https://www.frontiersin.org/articles/10.3389/fncom.2022.898829/pdf
Emerging dynamic memristors for neuromorphic reservoir computing,10.1039/d1nr06680c,https://pubs.rsc.org/en/content/articlepdf/2022/nr/d1nr06680c
Weaver ants regulate the rate of prey delivery during collective vertical transport,10.1101/2022.06.22.497253,https://www.biorxiv.org/content/biorxiv/early/2022/06/26/2022.06.22.497253.full.pdf
Natural Induction,10.1163/9789087908737_009,NA
Unicellular-multicellular evolutionary branching driven by resource limitations,10.1098/rsif.2022.0018,NA
Learning in Transcriptional Network Models: Computational Discovery of Pathway-Level Memory and Effective Interventions,10.3390/ijms24010285,https://www.mdpi.com/1422-0067/24/1/285/pdf?version=1672829351
Cellular sentience as the primary source of biological order and evolution,10.1016/j.biosystems.2022.104694,NA
Cellular and evolutionary perspectives on organismal cognition: from unicellular to multicellular organisms,10.1093/biolinnean/blac005,NA
Mitochondria in cone photoreceptors act as microlenses to enhance photon delivery and confer directional sensitivity to light,10.1126/sciadv.abn2070,NA
Variable paralog expression underlies phenotype variation,10.7554/eLife.79247,NA
Towards enduring autonomous robots via embodied energy,10.1038/s41586-021-04138-2,https://www.nature.com/articles/s41586-021-04138-2.pdf
VeloViz: RNA velocity-informed embeddings for visualizing cellular trajectories,10.1093/bioinformatics/btab653,NA
"Supervised Learning in a Multilayer, Nonlinear Chemical Neural Network",10.1109/TNNLS.2022.3146057,NA
Ion Channel Involvement in Tumor Drug Resistance,10.3390/jpm12020210,https://www.mdpi.com/2075-4426/12/2/210/pdf?version=1644815660
Fluoxetine Ecofriendly Nanoemulsion Enhances Wound Healing in Diabetic Rats: In Vivo Efficacy Assessment,10.3390/pharmaceutics14061133,https://www.mdpi.com/1999-4923/14/6/1133/pdf?version=1653645664
Synthetic cells with self-activating optogenetic proteins communicate with natural cells,10.1038/s41467-022-29871-8,https://www.nature.com/articles/s41467-022-29871-8.pdf
Dissecting transition cells from single-cell transcriptome data through multiscale stochastic dynamics,10.1038/s41467-021-25548-w,https://www.nature.com/articles/s41467-021-25548-w.pdf
Machine Learning: New Ideas and Tools in Environmental Science and Engineering,10.1021/acs.est.1c01339,NA
Neuromorphic learning with Mott insulator NiO,10.1073/pnas.2017239118,NA
Upregulation of Antioxidant Capacity and Nucleotide Precursor Availability Suffices for Oncogenic Transformation,10.1016/j.cmet.2020.10.002,http://www.cell.com/article/S1550413120305350/pdf
Dual-responsive biohybrid neutrobots for active target delivery,10.1126/scirobotics.aaz9519,NA
Photons detected in the active nerve by photographic technique,10.1038/s41598-021-82622-5,https://www.nature.com/articles/s41598-021-82622-5.pdf
Active perception during angiogenesis: filopodia speed up Notch selection of tip cells in silico and in vivo,10.1098/rstb.2019.0753,NA
Modulation of the Cell Membrane Potential and Intracellular Protein Transport by High Magnetic Fields,10.1002/bem.22309,NA
A calcineurin-mediated scaling mechanism that controls a K(+)-leak channel to regulate morphogen and growth factor transcription,10.7554/eLife.60691,NA
Mechanical computing,10.1038/s41586-021-03623-y,NA
Exploration of possible cell chirality using material techniques of surface patterning,10.1016/j.actbio.2021.02.032,NA
Integration of electrotaxis and durotaxis in cancer cells: Subtle nonlinear responses to electromechanical coupling cues,10.1016/j.bios.2021.113289,NA
In-Cell Nanoelectronics: Opening the Door to Intracellular Electrophysiology,10.1007/s40820-021-00655-x,https://link.springer.com/content/pdf/10.1007/s40820-021-00655-x.pdf
Homeostatic synaptic scaling establishes the specificity of an associative memory,10.1016/j.cub.2021.03.024,http://www.cell.com/article/S0960982221003638/pdf
Perspective on integrating machine learning into computational chemistry and materials science,10.1063/5.0047760,https://aip.scitation.org/doi/pdf/10.1063/5.0047760
Developmental Regulation of Homeostatic Plasticity in Mouse Primary Visual Cortex,10.1523/JNEUROSCI.1200-21.2021,https://www.jneurosci.org/content/jneuro/41/48/9891.full.pdf
Chloride intracellular channels as novel biomarkers for digestive system tumors (Review),10.3892/mmr.2021.12269,https://www.spandidos-publications.com/10.3892/mmr.2021.12269/download
Biomedical Implants with Charge-Transfer Monitoring and Regulating Abilities,10.1002/advs.202004393,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202004393
Assembloids,10.1038/s41592-020-01026-x,NA
Model comparison via simplicial complexes and persistent homology,10.1098/rsos.211361,NA
Turing pattern design principles and their robustness,10.1098/rsta.2020.0272,NA
Atypical Brain Asymmetry in Human Situs Inversus: Gut Feeling or Real Evidence?,10.3390/sym13040695,https://www.mdpi.com/2073-8994/13/4/695/pdf?version=1618547553
Non-cell-autonomous OTX2 transcription factor regulates anxiety-related behavior in the mouse,10.1038/s41380-021-01132-y,https://www.nature.com/articles/s41380-021-01132-y.pdf
What machine learning can do for developmental biology,10.1242/dev.188474,https://journals.biologists.com/dev/article-pdf/148/1/dev188474/1814969/dev188474.pdf
Author Correction: Engineering self-organized criticality in living cells,10.1038/s41467-021-25603-6,https://www.nature.com/articles/s41467-021-25603-6.pdf
Engineering self-organized criticality in living cells,10.1038/s41467-021-24695-4,https://www.nature.com/articles/s41467-021-24695-4.pdf
Seasonal variation of behavior and brain size in a freshwater fish,10.1002/ece3.8179,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.8179
Goals as Emergent Autopoietic Processes,10.3389/fbioe.2021.720652,https://www.frontiersin.org/articles/10.3389/fbioe.2021.720652/pdf
Towards a Theory of Evolution as Multilevel Learning,10.1101/2021.11.03.466494,NA
"First Virtual International Congress on Cellular and Organismal Stress Responses, November 5-6, 2020",10.1007/s12192-021-01192-7,https://link.springer.com/content/pdf/10.1007/s12192-021-01192-7.pdf
Machine learning in plant science and plant breeding,10.1016/j.isci.2020.101890,http://www.cell.com/article/S2589004220310877/pdf
The Sudden Savant: A New Form of Extraordinary Abilities,10.3726/978-3-0351-0826-2/18,NA
Synthetic embryology: Early mammalian embryo modeling systems from cell cultures,10.1111/dgd.12713,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/dgd.12713
Towards the Idea of Molecular Brains,10.3390/ijms222111868,https://www.mdpi.com/1422-0067/22/21/11868/pdf?version=1635854201
From genes to shape during metamorphosis: a history,10.1016/j.cois.2020.08.008,NA
When less is more: Robot swarms adapt better to changes with constrained communication,10.1126/scirobotics.abf1416,https://dipot.ulb.ac.be/dspace/bitstream/2013/331358/3/adaptation_paper_combined.pdf
Neurophysiological and Behavioral Analysis in Xenopus,10.1101/pdb.top106849,NA
Modeling Stem Cell Fates using Non-Markov Processes,10.1016/j.stem.2021.01.009,http://www.cell.com/article/S1934590921000096/pdf
Profiling DNA break sites and transcriptional changes in response to contextual fear learning,10.1371/journal.pone.0249691,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0249691&type=printable
CellProfiler Analyst 3.0: Accessible data exploration and machine learning for image analysis,10.1093/bioinformatics/btab634,https://academic.oup.com/bioinformatics/article-pdf/37/21/3992/41091846/btab634.pdf
longfin causes cis-ectopic expression of the kcnh2a ether-a-go-go K+ channel to autonomously prolong fin outgrowth,10.1242/dev.199384,https://journals.biologists.com/dev/article-pdf/148/11/dev199384/2077396/dev199384.pdf
Establishment of the vertebrate body plan: Rethinking gastrulation through stem cell models of early embryogenesis,10.1016/j.devcel.2021.08.012,NA
Supervised Learning in Physical Networks: From Machine Learning to Learning Machines,10.1103/PhysRevX.11.021045,http://link.aps.org/pdf/10.1103/PhysRevX.11.021045
The representational entity in physical computing,10.1007/s11047-020-09805-3,https://link.springer.com/content/pdf/10.1007/s11047-020-09805-3.pdf
Effect of SSRI exposure on the proliferation rate and glucose uptake in breast and ovary cancer cell lines,10.1038/s41598-020-80850-9,https://www.nature.com/articles/s41598-020-80850-9.pdf
Beyond Casual Resemblance: Rigorous Frameworks for Comparing Regeneration Across Species,10.1146/annurev-cellbio-120319-114716,NA
The geometry of decision-making in individuals and collectives,10.1073/pnas.2102157118,NA
Glycolysis regulates Hedgehog signalling via the plasma membrane potential,10.15252/embj.2021107925,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.2021107925
